ID_CREDENTIAL_POLICY;STR_CREDENTIAL_POLICY;INT_MIN_CRED_LENGTH;INT_MAX_CRED_LENGTH;INT_DAYS_PASS_TIMEOUT;INT_BLOCK_SIZE;INT_BLOCK_THRESHOLD;INT_PASS_RETENTION;INT_MIN_BLOCK_ACCOUNT;INT_DAYS_UNUSED_TIMEOUT;INT_DAYS_TEMP_TIMEOUT;STR_REGEX;ID_USER_CREATED;DATE_CREATED;ID_USER_UPDATED;DATE_LAST_UPDATED
0;As defined for administrators;8;99;60;5;5;0;0;;;"\\D+";0;sysdate;;
1;PIN as used for normal users;4;6;60;5;5;0;0;;;"\\D+";0;sysdate;;
2;PWD as used for normal users;8;24;60;5;5;0;0;;;"\\D+";0;sysdate;;
3;As defined for root accounts;8;99;60;5;5;0;0;;;"\\D+";0;sysdate;;

